symbolic_name,numeric_event_id,authority_file,authority_line,generation_applicability,stock_profiler_exposed,custom_config_required,semantics_status,availability_classification
ETHOSU_PMU_SRAM0_RD_STALL_LIMIT,104,dependencies/core-driver/include/pmu_ethosu.h,250,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM0_WR_STALL_LIMIT,105,dependencies/core-driver/include/pmu_ethosu.h,251,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_RD_TRANS_ACCEPTED,106,dependencies/core-driver/include/pmu_ethosu.h,252,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_RD_TRANS_COMPLETED,107,dependencies/core-driver/include/pmu_ethosu.h,253,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_RD_DATA_BEAT_RECEIVED,108,dependencies/core-driver/include/pmu_ethosu.h,254,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_RD_TRAN_REQ_STALLED,109,dependencies/core-driver/include/pmu_ethosu.h,255,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_WR_TRANS_ACCEPTED,110,dependencies/core-driver/include/pmu_ethosu.h,256,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_WR_TRANS_COMPLETED_M,111,dependencies/core-driver/include/pmu_ethosu.h,257,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_WR_TRANS_COMPLETED_S,112,dependencies/core-driver/include/pmu_ethosu.h,258,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_WR_DATA_BEAT_WRITTEN,113,dependencies/core-driver/include/pmu_ethosu.h,259,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_WR_TRAN_REQ_STALLED,114,dependencies/core-driver/include/pmu_ethosu.h,260,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_WR_DATA_BEAT_STALLED,115,dependencies/core-driver/include/pmu_ethosu.h,261,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_ENABLED_CYCLES,116,dependencies/core-driver/include/pmu_ethosu.h,262,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_RD_STALL_LIMIT,117,dependencies/core-driver/include/pmu_ethosu.h,263,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM1_WR_STALL_LIMIT,118,dependencies/core-driver/include/pmu_ethosu.h,264,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_RD_TRANS_ACCEPTED,119,dependencies/core-driver/include/pmu_ethosu.h,265,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_RD_TRANS_COMPLETED,120,dependencies/core-driver/include/pmu_ethosu.h,266,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_RD_DATA_BEAT_RECEIVED,121,dependencies/core-driver/include/pmu_ethosu.h,267,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_RD_TRAN_REQ_STALLED,122,dependencies/core-driver/include/pmu_ethosu.h,268,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_WR_TRANS_ACCEPTED,123,dependencies/core-driver/include/pmu_ethosu.h,269,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_WR_TRANS_COMPLETED_M,124,dependencies/core-driver/include/pmu_ethosu.h,270,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_WR_TRANS_COMPLETED_S,125,dependencies/core-driver/include/pmu_ethosu.h,271,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_WR_DATA_BEAT_WRITTEN,126,dependencies/core-driver/include/pmu_ethosu.h,272,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_WR_TRAN_REQ_STALLED,127,dependencies/core-driver/include/pmu_ethosu.h,273,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_WR_DATA_BEAT_STALLED,128,dependencies/core-driver/include/pmu_ethosu.h,274,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_ENABLED_CYCLES,129,dependencies/core-driver/include/pmu_ethosu.h,275,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_RD_STALL_LIMIT,130,dependencies/core-driver/include/pmu_ethosu.h,276,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM2_WR_STALL_LIMIT,131,dependencies/core-driver/include/pmu_ethosu.h,277,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_RD_TRANS_ACCEPTED,132,dependencies/core-driver/include/pmu_ethosu.h,278,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_RD_TRANS_COMPLETED,133,dependencies/core-driver/include/pmu_ethosu.h,279,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_RD_DATA_BEAT_RECEIVED,134,dependencies/core-driver/include/pmu_ethosu.h,280,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_RD_TRAN_REQ_STALLED,135,dependencies/core-driver/include/pmu_ethosu.h,281,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_WR_TRANS_ACCEPTED,136,dependencies/core-driver/include/pmu_ethosu.h,282,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_WR_TRANS_COMPLETED_M,137,dependencies/core-driver/include/pmu_ethosu.h,283,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_WR_TRANS_COMPLETED_S,138,dependencies/core-driver/include/pmu_ethosu.h,284,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_WR_DATA_BEAT_WRITTEN,139,dependencies/core-driver/include/pmu_ethosu.h,285,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_WR_TRAN_REQ_STALLED,140,dependencies/core-driver/include/pmu_ethosu.h,286,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_WR_DATA_BEAT_STALLED,141,dependencies/core-driver/include/pmu_ethosu.h,287,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_ENABLED_CYCLES,142,dependencies/core-driver/include/pmu_ethosu.h,288,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_RD_STALL_LIMIT,143,dependencies/core-driver/include/pmu_ethosu.h,289,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SRAM3_WR_STALL_LIMIT,144,dependencies/core-driver/include/pmu_ethosu.h,290,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_RD_TRANS_ACCEPTED,145,dependencies/core-driver/include/pmu_ethosu.h,291,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_RD_TRANS_COMPLETED,146,dependencies/core-driver/include/pmu_ethosu.h,292,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_RD_DATA_BEAT_RECEIVED,147,dependencies/core-driver/include/pmu_ethosu.h,293,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_RD_TRAN_REQ_STALLED,148,dependencies/core-driver/include/pmu_ethosu.h,294,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_WR_TRANS_ACCEPTED,149,dependencies/core-driver/include/pmu_ethosu.h,295,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_WR_TRANS_COMPLETED_M,150,dependencies/core-driver/include/pmu_ethosu.h,296,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_WR_TRANS_COMPLETED_S,151,dependencies/core-driver/include/pmu_ethosu.h,297,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_WR_DATA_BEAT_WRITTEN,152,dependencies/core-driver/include/pmu_ethosu.h,298,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_WR_TRAN_REQ_STALLED,153,dependencies/core-driver/include/pmu_ethosu.h,299,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_WR_DATA_BEAT_STALLED,154,dependencies/core-driver/include/pmu_ethosu.h,300,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_ENABLED_CYCLES,155,dependencies/core-driver/include/pmu_ethosu.h,301,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_RD_STALL_LIMIT,156,dependencies/core-driver/include/pmu_ethosu.h,302,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT0_WR_STALL_LIMIT,157,dependencies/core-driver/include/pmu_ethosu.h,303,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_RD_TRANS_ACCEPTED,158,dependencies/core-driver/include/pmu_ethosu.h,304,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_RD_TRANS_COMPLETED,159,dependencies/core-driver/include/pmu_ethosu.h,305,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_RD_DATA_BEAT_RECEIVED,160,dependencies/core-driver/include/pmu_ethosu.h,306,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_RD_TRAN_REQ_STALLED,161,dependencies/core-driver/include/pmu_ethosu.h,307,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_WR_TRANS_ACCEPTED,162,dependencies/core-driver/include/pmu_ethosu.h,308,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_WR_TRANS_COMPLETED_M,163,dependencies/core-driver/include/pmu_ethosu.h,309,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_WR_TRANS_COMPLETED_S,164,dependencies/core-driver/include/pmu_ethosu.h,310,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_WR_DATA_BEAT_WRITTEN,165,dependencies/core-driver/include/pmu_ethosu.h,311,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_WR_TRAN_REQ_STALLED,166,dependencies/core-driver/include/pmu_ethosu.h,312,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_WR_DATA_BEAT_STALLED,167,dependencies/core-driver/include/pmu_ethosu.h,313,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_ENABLED_CYCLES,168,dependencies/core-driver/include/pmu_ethosu.h,314,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_RD_STALL_LIMIT,169,dependencies/core-driver/include/pmu_ethosu.h,315,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_EXT1_WR_STALL_LIMIT,170,dependencies/core-driver/include/pmu_ethosu.h,316,ETHOSU85,no,yes (profiler event slot reconfiguration),"SYMBOLIC_ONLY (header caveat: values symbolic, use API)",AVAILABLE_BUT_REQUIRES_PATCH
ETHOSU_PMU_SENTINEL,171,dependencies/core-driver/include/pmu_ethosu.h,318,ETHOSU85,no,n/a,N/A,NOT_AVAILABLE
